mode,mass_kg,ballistic_height_m,time_s,l0_m,body_speed_m_per_s,joint_speed_rad_per_s,joint_speed_rpm,required_joint_torque_nm,available_joint_torque_nm,torque_utilization,total_mechanical_power_w
landing,2.3,0.1,0.06240740107970878,0.07079380000000002,0.17645983985031832,3.323346082222136,31.735617395444244,0.8982145505627152,5.988842459600716,0.14998132888314453,-11.94031123043006
landing,2.3,0.1,0.06255020977783168,0.0707688,0.17365889001142443,3.272210121113864,31.24730493663606,0.8977710817620662,5.991981611121625,0.1498287444834155,-11.750782480740696
landing,2.3,0.1,0.06269301847595458,0.07074420000000001,0.17085794017253053,3.220999796639288,30.758282359987938,0.8973342487567108,5.995125327685792,0.14967731276822116,-11.561253731051334
landing,2.3,0.1,0.06283582717407749,0.07072000000000002,0.16805699033363664,3.1697160590693354,30.26855873991881,0.896904073538754,5.998273550957665,0.14952703739154366,-11.371724981361972
landing,2.3,0.1,0.0629786358722004,0.07069620000000001,0.16525604049474252,3.1183598699869566,29.778143258869456,0.8964805777627716,6.0,0.14941342962712859,-11.182196231672593
landing,2.3,0.1,0.0631214445703233,0.07067280000000002,0.16245509065584862,3.066932202167003,29.28704520615544,0.8960637827448662,6.0,0.14934396379081102,-10.992667481983231
landing,2.3,0.1,0.0632642532684462,0.07064980000000001,0.15965414081695473,3.0154340394532193,28.795273976792473,0.8956537094617374,6.0,0.1492756182436229,-10.803138732293867
landing,2.3,0.1,0.0634070619665691,0.07062720000000001,0.15685319097806083,2.9638663766324544,28.30283907029522,0.8952503785497653,6.0,0.1492083964249609,-10.613609982604505
landing,2.3,0.1,0.063549870664692,0.07060500000000003,0.15405224113916693,2.912230219306066,27.809750089449288,0.8948538103041029,6.0,0.1491423017173505,-10.42408123291514
landing,2.3,0.1,0.06369267936281492,0.07058320000000001,0.15125129130027282,2.8605265837585274,27.316016739056533,0.8944640246777831,6.0,0.14907733744629717,-10.234552483225764
landing,2.3,0.1,0.06383548806093782,0.07056180000000001,0.14845034146137892,2.8087564968232943,26.821648824654165,0.8940810412808419,6.0,0.1490135068801403,-10.0450237335364
landing,2.3,0.1,0.06397829675906072,0.07054080000000001,0.14564939162248502,2.75692099574591,26.32665625120751,0.8937048793794458,6.0,0.14895081322990764,-9.855494983847038
landing,2.3,0.1,0.06412110545718362,0.07052020000000002,0.14284844178359113,2.7050211280444025,25.831049021776888,0.8933355578950409,6.0,0.1488892596491735,-9.665966234157676
landing,2.3,0.1,0.06426391415530652,0.07050000000000001,0.14004749194469723,2.653057951366993,25.33483723615885,0.8929730954035099,6.0,0.14882884923391831,-9.476437484468311
landing,2.3,0.1,0.06440672285342942,0.0704802,0.13724654210580334,2.6010325333471243,24.838031089501797,0.8926175101343448,6.0,0.1487695850223908,-9.28690873477895
landing,2.3,0.1,0.06454953155155234,0.07046080000000002,0.13444559226690922,2.548945951455854,24.340640870896404,0.8922688199698313,6.0,0.1487114699949719,-9.097379985089571
landing,2.3,0.1,0.06469234024967524,0.07044180000000001,0.13164464242801532,2.496799292851635,23.84267696194119,0.8919270424442494,6.0,0.14865450707404157,-8.907851235400209
landing,2.3,0.1,0.06483514894779814,0.07042320000000002,0.12884369258912143,2.4445936542275013,23.344149835283186,0.8915921947430832,6.0,0.14859869912384718,-8.718322485710845
landing,2.3,0.1,0.06497795764592104,0.07040500000000001,0.12604274275022753,2.3923301416556972,22.845070053134304,0.8912642937022509,6.0,0.14854404895037515,-8.528793736021482
landing,2.3,0.1,0.06512076634404394,0.07038720000000001,0.12324179291133364,2.3400098704298022,22.345448265763714,0.8909433558073414,6.0,0.14849055930122357,-8.33926498633212
landing,2.3,0.1,0.06526357504216684,0.07036980000000001,0.12044084307243974,2.2876339649043365,21.845295209966196,0.8906293971928725,6.0,0.14843823286547875,-8.149736236642756
landing,2.3,0.1,0.06540638374028976,0.07035280000000002,0.1176398932335454,2.235203558331918,21.344621707507102,0.8903224336415567,6.0,0.1483870722735928,-7.960207486953363
landing,2.3,0.1,0.06554919243841266,0.07033620000000002,0.1148389433946515,2.1827197926980384,20.843438663544596,0.8900224805835869,6.0,0.14833708009726448,-7.770678737264
