zone,l0_mm,phi1_deg,phi4_deg,theta_bc_deg,theta_dc_deg,ax_mm,ay_mm,bx_mm,by_mm,cx_mm,cy_mm,dx_mm,dy_mm,ex_mm,ey_mm
long_end_exploration,136.0,116.24738852896344,63.75261147103656,60.24392983771818,119.75607016228183,0.0,0.0,-22.112390570253755,44.84464497873245,30.0,136.0,82.11239057025375,44.84464497873245,60.0,0.0
long_end_exploration,137.0,115.03070772906241,64.96929227093756,60.843790583373455,119.15620941662652,0.0,0.0,-21.155196878253417,45.304057710566475,30.000000000000032,137.0,81.15519687825343,45.30405771056646,60.0,0.0
long_end_exploration,138.0,113.77799280997071,66.22200719002926,61.46396701961899,118.53603298038101,0.0,0.0,-20.15969162416375,45.755730063224014,30.00000000000002,138.0,80.15969162416377,45.75573006322401,60.0,0.0
long_end_exploration,139.0,112.48495045862573,67.51504954137415,62.10654038851087,117.8934596114891,0.0,0.0,-19.122037461448897,46.19900089096024,30.00000000000007,139.0,79.12203746144898,46.199000890960214,60.0,0.0
long_end_exploration,140.0,111.14645113788292,68.85354886211708,62.77400178977116,117.22599821022885,0.0,0.0,-18.037652938029883,46.63306848672069,30.000000000000007,139.99999999999997,78.0376529380299,46.63306848672069,60.0,0.0
long_end_exploration,141.0,109.7562790575585,70.2437209424415,63.46937336392471,116.5306266360753,0.0,0.0,-16.900992983416344,47.056948861719796,30.0,141.0,76.90099298341634,47.056948861719796,60.0,0.0
long_end_exploration,142.0,108.30677740395225,71.69322259604772,64.1963800504448,115.80361994955517,0.0,0.0,-15.705237971217693,47.46941647279249,30.00000000000004,142.0,75.70523797121773,47.46941647279247,60.0,0.0
long_end_exploration,143.0,106.78832966297284,73.21167033702712,64.95970040479214,115.04029959520784,0.0,0.0,-14.441839927837972,47.86891746737861,30.00000000000003,143.00000000000003,74.441839927838,47.8689174673786,60.0,0.0
long_end_exploration,144.0,105.18857381437502,74.81142618562497,65.7653461252907,114.2346538747093,0.0,0.0,-13.099836271929444,48.25343811220753,30.00000000000001,144.00000000000003,73.09983627192945,48.253438112207526,60.0,0.0
long_end_exploration,145.0,103.49115929496561,76.50884070503439,66.62126164912162,113.37873835087836,0.0,0.0,-11.664766248574661,48.62029646522236,30.000000000000014,145.00000000000003,71.66476624857467,48.62029646522235,60.0,0.0
