l0_m,extension_speed_m_per_s,joint_speed_rad_per_s,joint_speed_rpm,available_joint_torque_nm,axial_force_per_leg_n,total_axial_force_n,total_mechanical_power_w
0.12,0.41000000000000003,6.599169861168358,63.01743022248005,5.787745091426914,186.31372181204677,372.62744362409353,152.77725188587837
0.12,0.42,6.760125223635877,64.55444071571125,5.7778643096847135,185.9956488506911,371.9912977013822,156.23634503458052
0.12,0.43,6.921080586103399,66.09145120894249,5.767983527942513,185.67757588933543,371.35515177867086,159.68271526482846
0.12,0.44,7.08203594857092,67.62846170217371,5.758102746200311,185.35950292797972,370.71900585595944,163.11636257662215
0.12,0.45,7.24299131103844,69.16547219540493,5.748221964458111,185.04142996662404,370.0828599332481,166.53728696996163
0.12,0.46,7.403946673505962,70.70248268863615,5.73834118271591,184.72335700526838,369.44671401053677,169.94548844484692
0.12,0.47000000000000003,7.564902035973483,72.23949318186737,5.7284604009737095,184.4052840439127,368.8105680878254,173.34096700127796
0.12,0.48,7.725857398441003,73.77650367509858,5.718579619231509,184.08721108255702,368.17442216511404,176.72372263925473
0.12,0.49,7.886812760908524,75.3135141683298,5.708698837489308,183.76913812120137,367.53827624240273,180.09375535877734
0.12,0.5,8.047768123376045,76.85052466156102,5.6988180557471075,183.45106515984568,366.90213031969137,183.45106515984568
0.12,0.51,8.208723485843565,78.38753515479225,5.688937274004907,183.13299219849,366.26598439698,186.7956520424598
0.12,0.52,8.369678848311088,79.92454564802348,5.679056492262706,182.81491923713435,365.6298384742687,190.12751600661971
0.12,0.53,8.530634210778608,81.4615561412547,5.669175710520506,182.49684627577867,364.99369255155733,193.4466570523254
0.12,0.54,8.691589573246128,82.99856663448591,5.659294928778305,182.17877331442298,364.35754662884597,196.75307517957683
0.12,0.55,8.85254493571365,84.53557712771715,5.649414147036104,181.86070035306733,363.72140070613466,200.04677038837409
0.12,0.56,9.013500298181171,86.07258762094837,5.639533365293903,181.54262739171162,363.08525478342324,203.32774267871704
0.12,0.5700000000000001,9.174455660648693,87.60959811417959,5.629652583551702,181.22455443035594,362.4491088607119,206.5959920506058
0.12,0.58,9.335411023116212,89.14660860741078,5.619771801809502,180.90648146900028,361.81296293800057,209.8515185040403
0.12,0.59,9.496366385583732,90.683619100642,5.609891020067301,180.5884085076446,361.1768170152892,213.09432203902062
0.12,0.6,9.657321748051254,92.22062959387324,5.6000102383251,180.27033554628892,360.54067109257784,216.3244026555467
0.12,0.61,9.818277110518775,93.75764008710445,5.5901294565829,179.95226258493324,359.9045251698665,219.54176035361854
0.12,0.62,9.979232472986295,95.29465058033567,5.580248674840699,179.63418962357758,359.26837924715517,222.7463951332362
0.12,0.63,10.140187835453817,96.8316610735669,5.570367893098498,179.3161166622219,358.6322333244438,225.9383069943996
0.12,0.64,10.301143197921338,98.36867156679811,5.560487111356298,178.99804370086622,357.99608740173244,229.11749593710877
0.12,0.65,10.462098560388858,99.90568206002933,5.550606329614097,178.67997073951057,357.35994147902113,232.28396196136373
0.12,0.66,10.62305392285638,101.44269255326057,5.541343844680436,178.38180141554108,356.76360283108215,235.46397786851423
0.12,0.67,10.7840092853239,102.97970304649179,5.532121781721049,178.0849333182758,356.1698666365516,238.6338106464896
0.12,0.68,10.944964647791421,104.516713539723,5.5228997187616615,177.7880652210105,355.576130442021,241.7917687005743
0.12,0.6900000000000001,11.105920010258943,106.05372403295422,5.513677655802274,177.4911971237452,354.9823942474904,244.9378520307684
0.12,0.7000000000000001,11.266875372726464,107.59073452618544,5.504455592842887,177.1943290264799,354.3886580529598,248.07206063707187
